_id,OBJECTID,ROAD_TYPE,SIDEWALK_CODE,SIDEWALK_DESCRIPTION,CROSSWALK,CROSSWALK_TYPE,PX,PX_TYPE,LENGTH,geometry
119,119,Trail,13,Not applicable,, , , ,72.69238186,"{""coordinates"": [[[-79.347162571302, 43.6756779270376], [-79.3466832795813, 43.6753958409313], [-79.3464372959875, 43.6752921215822]]], ""type"": ""MultiLineString""}"
120,120,Collector,7,Sidewalk on both sides,, , , ,91.01265471,"{""coordinates"": [[[-79.2835391861069, 43.769071037081], [-79.2824450283991, 43.7692770217039]]], ""type"": ""MultiLineString""}"
121,121,Local,7,Sidewalk on both sides,, , , ,71.19820887,"{""coordinates"": [[[-79.4624206536762, 43.7867985924526], [-79.4620600363807, 43.7862133808204]]], ""type"": ""MultiLineString""}"
122,122,Trail,13,Not applicable,, , , ,111.40496164,"{""coordinates"": [[[-79.4362161251638, 43.7907729572433], [-79.4358122629961, 43.7917320904705]]], ""type"": ""MultiLineString""}"
123,123,Trail,13,Not applicable,, , , ,113.76590958,"{""coordinates"": [[[-79.5497589683956, 43.7300978084005], [-79.5489249255207, 43.7292714319374]]], ""type"": ""MultiLineString""}"
124,124,Trail,13,Not applicable,, , , ,58.29887967,"{""coordinates"": [[[-79.4845466527958, 43.7416128267919], [-79.4839288880398, 43.7413393656309]]], ""type"": ""MultiLineString""}"
125,125,Trail,13,Not applicable,, , , ,10.84761519,"{""coordinates"": [[[-79.2257377109289, 43.813246052876], [-79.225606065748, 43.8132671414993]]], ""type"": ""MultiLineString""}"
126,126,Local,5,Sidewalk on east side only,, , , ,56.34902272,"{""coordinates"": [[[-79.2095622840671, 43.8031459502204], [-79.2090422969521, 43.8034856888497]]], ""type"": ""MultiLineString""}"
127,127,Local,7,Sidewalk on both sides,, , , ,149.71768328,"{""coordinates"": [[[-79.4149992631345, 43.6943831551138], [-79.4132092973209, 43.6947427438238]]], ""type"": ""MultiLineString""}"
128,128,Trail,13,Not applicable,, , , ,103.15639777,"{""coordinates"": [[[-79.3892439037718, 43.7178749994484], [-79.3880369429672, 43.7175653956068]]], ""type"": ""MultiLineString""}"
129,129,Trail,13,Not applicable,, , , ,51.28169262,"{""coordinates"": [[[-79.4328991458863, 43.6563953645009], [-79.4323492789948, 43.6561636696711]]], ""type"": ""MultiLineString""}"
130,130,Trail,13,Not applicable,, , , ,68.10714949,"{""coordinates"": [[[-79.2244746892264, 43.8137847911068], [-79.2236494574994, 43.8139215955949]]], ""type"": ""MultiLineString""}"
131,131,Trail,13,Not applicable,, , , ,57.66733507,"{""coordinates"": [[[-79.3834725287132, 43.7911344411633], [-79.3830789470239, 43.7915682090788]]], ""type"": ""MultiLineString""}"
132,132,Trail,13,Not applicable,, , , ,53.07956048,"{""coordinates"": [[[-79.3814587601212, 43.7918891678929], [-79.380810654943, 43.7919778931436]]], ""type"": ""MultiLineString""}"
133,133,Trail,13,Not applicable,, , , ,36.28781688,"{""coordinates"": [[[-79.2844566157237, 43.7827077101293], [-79.2842141800333, 43.7829830838784]]], ""type"": ""MultiLineString""}"
134,134,Trail,13,Not applicable,, , , ,14.27032314,"{""coordinates"": [[[-79.2843453267223, 43.7830695264095], [-79.2842141800333, 43.7829830838784]]], ""type"": ""MultiLineString""}"
135,135,Trail,13,Not applicable,, , , ,27.97056011,"{""coordinates"": [[[-79.3048701160126, 43.7745484718383], [-79.3046997769281, 43.7743290295871]]], ""type"": ""MultiLineString""}"
